ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,"Northern, Upper West, Upper East",2299539,Households using water piped into dwelling,6.7,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_PIP,250161020,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,WSSRCEHPIP,GHDHS1993408008,1993,DHS,952,952,,,
GHA,Northern (pre 2022),5861002,Households using water piped into dwelling,5.3,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_PIP,250161020,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,WSSRCEHPIP,GHDHS1993408009,1993,DHS,468,468,,,1
GHA,Upper West,5057724,Households using water piped into dwelling,2.9,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_PIP,250161020,I,408010,1408100,Region,..Upper West,0,,0,1,WSSRCEHPIP,GHDHS1993408010,1993,DHS,174,174,,,1
GHA,Upper East,1855535,Households using water piped into dwelling,11,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_PIP,250161020,I,408011,1408110,Region,..Upper East,0,,0,1,WSSRCEHPIP,GHDHS1993408011,1993,DHS,310,310,,,1
GHA,Western (pre 2022),1842568,Households using a public tap/standpipe,13.6,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TAP,250161030,I,408001,1408010,Region,Western (pre 2022),0,,0,1,WSSRCEHTAP,GHDHS1993408001,1993,DHS,545,545,,,1
GHA,Central,7100922,Households using a public tap/standpipe,37,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TAP,250161030,I,408002,1408020,Region,Central,0,,0,1,WSSRCEHTAP,GHDHS1993408002,1993,DHS,670,670,,,1
GHA,Greater Accra,5005066,Households using a public tap/standpipe,37.7,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TAP,250161030,I,408003,1408030,Region,Greater Accra,0,,0,1,WSSRCEHTAP,GHDHS1993408003,1993,DHS,698,698,,,1
GHA,Volta (pre 2022),1855475,Households using a public tap/standpipe,16.6,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TAP,250161030,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,WSSRCEHTAP,GHDHS1993408004,1993,DHS,519,519,,,1
GHA,Eastern,2471596,Households using a public tap/standpipe,19.1,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TAP,250161030,I,408005,1408050,Region,Eastern,0,,0,1,WSSRCEHTAP,GHDHS1993408005,1993,DHS,773,773,,,1
GHA,Ashanti,2635635,Households using a public tap/standpipe,21.6,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TAP,250161030,I,408006,1408060,Region,Ashanti,0,,0,1,WSSRCEHTAP,GHDHS1993408006,1993,DHS,1079,1079,,,1
GHA,Brong-Ahafo,3474215,Households using a public tap/standpipe,15,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TAP,250161030,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,WSSRCEHTAP,GHDHS1993408007,1993,DHS,586,586,,,1
GHA,"Northern, Upper West, Upper East",2299540,Households using a public tap/standpipe,7.5,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TAP,250161030,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,WSSRCEHTAP,GHDHS1993408008,1993,DHS,952,952,,,
GHA,Northern (pre 2022),5861003,Households using a public tap/standpipe,11.1,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TAP,250161030,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,WSSRCEHTAP,GHDHS1993408009,1993,DHS,468,468,,,1
GHA,Upper West,5057725,Households using a public tap/standpipe,3.4,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TAP,250161030,I,408010,1408100,Region,..Upper West,0,,0,1,WSSRCEHTAP,GHDHS1993408010,1993,DHS,174,174,,,1
GHA,Upper East,1855536,Households using a public tap/standpipe,4.2,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TAP,250161030,I,408011,1408110,Region,..Upper East,0,,0,1,WSSRCEHTAP,GHDHS1993408011,1993,DHS,310,310,,,1
GHA,Western (pre 2022),1842569,Households using a tubewell/borehole,12.7,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TUB,250161040,I,408001,1408010,Region,Western (pre 2022),0,,0,1,WSSRCEHTUB,GHDHS1993408001,1993,DHS,545,545,,,1
GHA,Central,7100923,Households using a tubewell/borehole,15.4,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TUB,250161040,I,408002,1408020,Region,Central,0,,0,1,WSSRCEHTUB,GHDHS1993408002,1993,DHS,670,670,,,1
GHA,Greater Accra,5005067,Households using a tubewell/borehole,1.7,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TUB,250161040,I,408003,1408030,Region,Greater Accra,0,,0,1,WSSRCEHTUB,GHDHS1993408003,1993,DHS,698,698,,,1
GHA,Volta (pre 2022),1855476,Households using a tubewell/borehole,15.2,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TUB,250161040,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,WSSRCEHTUB,GHDHS1993408004,1993,DHS,519,519,,,1
GHA,Eastern,2471597,Households using a tubewell/borehole,11.6,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TUB,250161040,I,408005,1408050,Region,Eastern,0,,0,1,WSSRCEHTUB,GHDHS1993408005,1993,DHS,773,773,,,1
GHA,Ashanti,2635636,Households using a tubewell/borehole,20,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TUB,250161040,I,408006,1408060,Region,Ashanti,0,,0,1,WSSRCEHTUB,GHDHS1993408006,1993,DHS,1079,1079,,,1
GHA,Brong-Ahafo,3474216,Households using a tubewell/borehole,23.9,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TUB,250161040,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,WSSRCEHTUB,GHDHS1993408007,1993,DHS,586,586,,,1
GHA,"Northern, Upper West, Upper East",2299541,Households using a tubewell/borehole,38,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TUB,250161040,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,WSSRCEHTUB,GHDHS1993408008,1993,DHS,952,952,,,
GHA,Northern (pre 2022),5861004,Households using a tubewell/borehole,19.7,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TUB,250161040,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,WSSRCEHTUB,GHDHS1993408009,1993,DHS,468,468,,,1
GHA,Upper West,5057726,Households using a tubewell/borehole,52.9,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TUB,250161040,I,408010,1408100,Region,..Upper West,0,,0,1,WSSRCEHTUB,GHDHS1993408010,1993,DHS,174,174,,,1
GHA,Upper East,1855544,Households using a tubewell/borehole,57.4,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TUB,250161040,I,408011,1408110,Region,..Upper East,0,,0,1,WSSRCEHTUB,GHDHS1993408011,1993,DHS,310,310,,,1
GHA,Western (pre 2022),1842618,Households using rainwater,0.6,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_RNW,250161070,I,408001,1408010,Region,Western (pre 2022),0,,0,1,WSSRCEHRNW,GHDHS1993408001,1993,DHS,545,545,,,1
GHA,Central,7100979,Households using rainwater,1,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_RNW,250161070,I,408002,1408020,Region,Central,0,,0,1,WSSRCEHRNW,GHDHS1993408002,1993,DHS,670,670,,,1
GHA,Greater Accra,5005061,Households using rainwater,0.6,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_RNW,250161070,I,408003,1408030,Region,Greater Accra,0,,0,1,WSSRCEHRNW,GHDHS1993408003,1993,DHS,698,698,,,1
GHA,Volta (pre 2022),1855480,Households using rainwater,4.4,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_RNW,250161070,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,WSSRCEHRNW,GHDHS1993408004,1993,DHS,519,519,,,1
GHA,Eastern,2471592,Households using rainwater,0.8,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_RNW,250161070,I,408005,1408050,Region,Eastern,0,,0,1,WSSRCEHRNW,GHDHS1993408005,1993,DHS,773,773,,,1
GHA,Ashanti,2635638,Households using rainwater,0.1,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_RNW,250161070,I,408006,1408060,Region,Ashanti,0,,0,1,WSSRCEHRNW,GHDHS1993408006,1993,DHS,1079,1079,,,1
GHA,Brong-Ahafo,3474210,Households using rainwater,0.5,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_RNW,250161070,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,WSSRCEHRNW,GHDHS1993408007,1993,DHS,586,586,,,1
GHA,"Northern, Upper West, Upper East",2299535,Households using rainwater,0.1,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_RNW,250161070,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,WSSRCEHRNW,GHDHS1993408008,1993,DHS,952,952,,,
GHA,Northern (pre 2022),5860985,Households using rainwater,0.2,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_RNW,250161070,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,WSSRCEHRNW,GHDHS1993408009,1993,DHS,468,468,,,1
GHA,Upper West,5057720,Households using rainwater,0,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_RNW,250161070,I,408010,1408100,Region,..Upper West,0,,0,1,WSSRCEHRNW,GHDHS1993408010,1993,DHS,174,174,,,1
GHA,Upper East,1855542,Households using rainwater,0,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_RNW,250161070,I,408011,1408110,Region,..Upper East,0,,0,1,WSSRCEHRNW,GHDHS1993408011,1993,DHS,310,310,,,1
GHA,Western (pre 2022),1842629,Households using tanker truck,0.2,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TNK,250161074,I,408001,1408010,Region,Western (pre 2022),0,,0,1,WSSRCEHTNK,GHDHS1993408001,1993,DHS,545,545,,,1
GHA,Central,7100723,Households using tanker truck,2.8,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TNK,250161074,I,408002,1408020,Region,Central,0,,0,1,WSSRCEHTNK,GHDHS1993408002,1993,DHS,670,670,,,1
GHA,Greater Accra,5005058,Households using tanker truck,0.9,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TNK,250161074,I,408003,1408030,Region,Greater Accra,0,,0,1,WSSRCEHTNK,GHDHS1993408003,1993,DHS,698,698,,,1
GHA,Volta (pre 2022),1855516,Households using tanker truck,3.5,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TNK,250161074,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,WSSRCEHTNK,GHDHS1993408004,1993,DHS,519,519,,,1
GHA,Eastern,2471607,Households using tanker truck,0.1,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TNK,250161074,I,408005,1408050,Region,Eastern,0,,0,1,WSSRCEHTNK,GHDHS1993408005,1993,DHS,773,773,,,1
GHA,Ashanti,2635649,Households using tanker truck,0,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TNK,250161074,I,408006,1408060,Region,Ashanti,0,,0,1,WSSRCEHTNK,GHDHS1993408006,1993,DHS,1079,1079,,,1
GHA,Brong-Ahafo,3474231,Households using tanker truck,1.2,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_TNK,250161074,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,WSSRCEHTNK,GHDHS1993408007,1993,DHS,586,586,,,1
