ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Northern (pre 2022),5605186,Children stunted,44.1,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_HA2,104236020,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,CNNUTSCHA2,GHDHS1993408009,1993,DHS,179,179,,,1
GHA,Upper West,2921619,Children stunted,44.3,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_HA2,104236020,I,408010,1408100,Region,..Upper West,0,,0,1,CNNUTSCHA2,GHDHS1993408010,1993,DHS,61,61,,,1
GHA,Upper East,6626671,Children stunted,30.6,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_HA2,104236020,I,408011,1408110,Region,..Upper East,0,,0,1,CNNUTSCHA2,GHDHS1993408011,1993,DHS,134,134,,,1
GHA,Western (pre 2022),50215,Mean height for age of children,-1.5,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_HAM,104236030,I,408001,1408010,Region,Western (pre 2022),0,,0,1,CNNUTSCHAM,GHDHS1993408001,1993,DHS,169,169,,,1
GHA,Central,4446593,Mean height for age of children,-1.2,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_HAM,104236030,I,408002,1408020,Region,Central,0,,0,1,CNNUTSCHAM,GHDHS1993408002,1993,DHS,196,196,,,1
GHA,Greater Accra,2094242,Mean height for age of children,-0.9,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_HAM,104236030,I,408003,1408030,Region,Greater Accra,0,,0,1,CNNUTSCHAM,GHDHS1993408003,1993,DHS,180,180,,,1
GHA,Volta (pre 2022),5209025,Mean height for age of children,-1.1,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_HAM,104236030,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,CNNUTSCHAM,GHDHS1993408004,1993,DHS,191,191,,,1
GHA,Eastern,5662537,Mean height for age of children,-1.3,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_HAM,104236030,I,408005,1408050,Region,Eastern,0,,0,1,CNNUTSCHAM,GHDHS1993408005,1993,DHS,200,200,,,1
GHA,Ashanti,4267265,Mean height for age of children,-1.3,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_HAM,104236030,I,408006,1408060,Region,Ashanti,0,,0,1,CNNUTSCHAM,GHDHS1993408006,1993,DHS,324,324,,,1
GHA,Brong-Ahafo,6413832,Mean height for age of children,-1.2,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_HAM,104236030,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,CNNUTSCHAM,GHDHS1993408007,1993,DHS,185,185,,,1
